wweaicatnumfood,wweaicatdescfood,parentfoodcode,parentfooddesc,ffbin1,ffcont1,ffcont1fdd,ffbin9,ffcont9,ffcont9fdd,ingseq,ingcode,ingdesc,ingretcode,ingfoodprop,ingfermscore,fibin1,fibin9,fddfermweight,foodcodesource,fooddescsource,manualmatch,fddfermweight_avg,_merge,fermpropfddweight,lmcat
1004,"Milk, reduced fat",11211400,"Milk, evaporated, reduced fat (2%)",0,0,0,0,0,0,2,1003,"Butter oil, anhydrous",0,0,0,0,0,0,,,,,Master only (1),0,1
1008,"Milk, nonfat",11212050,"Milk, evaporated, fat free (skim)",0,0,0,0,0,0,1,1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",0,1,0,0,0,0,,,,,Master only (1),1,1
1202,"Flavored milk, whole",11220000,"Milk, condensed, sweetened",0,0,0,0,0,0,1,1095,"Milk, canned, condensed, sweetened",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,11,999418,Vitamin B-12 as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,10,999301,Calcium as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,12,16222,"Soy milk, unsweetened, plain, shelf stable",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,9,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,4,8120,"Cereals, oats, regular and quick, not fortified, dry",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,3,19335,"Sugars, granulated",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,7,19335,"Sugars, granulated",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,8,2047,"Salt, table",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,1,14091,"Almond milk, unsweetened, plain, shelf stable",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,6,4582,"Oil, canola",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,13,19335,"Sugars, granulated",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,5,14411,"Beverages, water, tap, drinking",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11300100,"Non-dairy milk, NFS",0,0,0,0,0,0,2,14091,"Almond milk, unsweetened, plain, shelf stable",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11320000,"Soy milk, sweetened",0,0,0,0,0,0,1,16222,"Soy milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11320000,"Soy milk, sweetened",0,0,0,0,0,0,2,19335,"Sugars, granulated",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11320100,"Soy milk, unsweetened",0,0,0,0,0,0,1,16222,"Soy milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11320100,"Soy milk, unsweetened",0,0,0,0,0,0,1,16222,"Soy milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11321000,"Soy milk, chocolate",1,0,0,1,0,0,2,19335,"Sugars, granulated",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11321000,"Soy milk, chocolate",1,0,0,1,0,0,2,19335,"Sugars, granulated",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11321000,"Soy milk, chocolate",1,0,0,1,0,0,2,19335,"Sugars, granulated",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11321000,"Soy milk, chocolate",1,0,0,1,0,0,3,19165,"Cocoa, dry powder, unsweetened",0,0,1,1,1,0,,,,,Master only (1),0,1
1902,Plant-based milk,11321000,"Soy milk, chocolate",1,0,0,1,0,0,3,19165,"Cocoa, dry powder, unsweetened",0,0,1,1,1,0,,,,,Master only (1),0,1
1902,Plant-based milk,11321000,"Soy milk, chocolate",1,0,0,1,0,0,3,19165,"Cocoa, dry powder, unsweetened",0,0,1,1,1,0,,,,,Master only (1),0,1
1902,Plant-based milk,11321000,"Soy milk, chocolate",1,0,0,1,0,0,1,16222,"Soy milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11321000,"Soy milk, chocolate",1,0,0,1,0,0,1,16222,"Soy milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11321000,"Soy milk, chocolate",1,0,0,1,0,0,1,16222,"Soy milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11350000,"Almond milk, sweetened",0,0,0,0,0,0,1,14091,"Almond milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11350000,"Almond milk, sweetened",0,0,0,0,0,0,2,19335,"Sugars, granulated",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11350010,"Almond milk, chocolate",1,0,0,1,0,0,3,19165,"Cocoa, dry powder, unsweetened",0,0,1,1,1,0,,,,,Master only (1),0,1
1902,Plant-based milk,11350010,"Almond milk, chocolate",1,0,0,1,0,0,3,19165,"Cocoa, dry powder, unsweetened",0,0,1,1,1,0,,,,,Master only (1),0,1
1902,Plant-based milk,11350010,"Almond milk, chocolate",1,0,0,1,0,0,2,19335,"Sugars, granulated",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11350010,"Almond milk, chocolate",1,0,0,1,0,0,2,19335,"Sugars, granulated",0,0,0,0,0,0,,,,,Master only (1),0,1
1902,Plant-based milk,11350010,"Almond milk, chocolate",1,0,0,1,0,0,1,14091,"Almond milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11350010,"Almond milk, chocolate",1,0,0,1,0,0,1,14091,"Almond milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11350020,"Almond milk, unsweetened",0,0,0,0,0,0,1,14091,"Almond milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
1902,Plant-based milk,11350040,"Almond milk, NFS",0,0,0,0,0,0,1,14091,"Almond milk, unsweetened, plain, shelf stable",0,1,0,0,0,0,,,,,Master only (1),1,1
